Global Volcanism Program - Volcanoes of the World 4.8.6,,,Basic List of Pleistocene Volcanoes,,Downloaded on 05 Mar 2020 at 10:51 AM,,,,,,,
Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
233803,Mauritius,Mauritius,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-20.32,57.65,826,,Intraplate / Oceanic crust (< 15 km)
233804,Rodriguez Island,Mauritius,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-19.7,63.42,396,,Intraplate / Oceanic crust (< 15 km)
241129,Rumble II East,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.418,178.652,-1150,,
241132,Rumble I,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.5,178.875,-1100,,Subduction zone / Oceanic crust (< 15 km)
241133,Thompson,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.285,178.863,-1250,,
241134,Silent II West,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.169,178.902,-780,,
241135,Silent II East,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.21,178.978,-1250,,
241141,Yokosuka,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.709,178.545,-1060,,
241142,Rapuhia,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.776,178.505,-650,,
241143,Giljanes,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.775,178.579,-700,,
241151,Kibblewhite,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.576,179.262,-1000,,
241200,Sonne,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.077,179.576,-995,,
241201,Ngatoroirangi,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-33.729,179.827,-340,,
241202,Cole,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-33.411,179.953,-2400,,
241203,Kuiwai,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-33.159,-179.957,-560,,
241204,Haungaroa,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-32.617,-179.624,-660,,
241205,Oliver-Speight,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-32.388,-179.591,-1840,,
241800,Hautere,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-46.55,166.9,330,,Subduction zone / Continental crust (>25 km)
241802,South Auckland,New Zealand,Shield(s),,,New Zealand to Fiji,New Zealand,-37.37,174.92,314,,Intraplate / Continental crust (>25 km)
241803,Mokohinau Islands,New Zealand,Volcanic field,,,New Zealand to Fiji,New Zealand,-35.9,175.12,134,,Subduction zone / Continental crust (>25 km)
241804,Little Barrier,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-36.2,175.12,722,,Subduction zone / Continental crust (>25 km)
241805,Mercury Islands,New Zealand,Volcanic field,,,New Zealand to Fiji,New Zealand,-36.62,175.82,230,,Subduction zone / Continental crust (>25 km)
