Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
211020,Vesuvius,"Cioni R, Santacroce R, Sbrana A",1999,Pyroclastic deposits as a guide for reconstructing the multi-stage evolution of the Somma-Vesuvius caldera,"Bull Volcanol, 61: 207-222"
211020,Vesuvius,"Cioni R, Sulpizo R, Garruccio N",2003,Variability of the eruption dynamics during a subplinian event: the Greenish Pumice eruption of Somma-Vesuvius (Italy),"J. Volcanol. Geotherm. Res., 124: 89-114"
211020,Vesuvius,"Civetta L, Santacroce R",1991,Steady state magma supply in the last 3400 years of Vesuvius activity,"Acta Vulc, 2: 147-159"
211020,Vesuvius,"Delibrias G, Di Paola G M, Rosi M, Santacroce R",1979,La storia eruttiva del complesso vulcanico Somma Vesuvio ricostruita dalle successioni piroclastiche del Monte Somma,"Rendiconti Soc Italiana Min Petr, 35: 411-438"
211020,Vesuvius,"Di Vito M A, Sulpizio R, Zanchetta G, D'Orazio M",2008,The late Pleistocene pyroclastic deposits of the Campanian Plain:  new insights into the explosive activity of Neapolitan volcanoes,"J. Volcanol. Geotherm. Res., 177: 19-48"
211020,Vesuvius,"Fulignati P, Marinelli P, Metrich N, Santacroce R, Sbrana A",2004,Towards a reconstruction of the magmatic feeding system of the 1944 eruption of Mt Vesuvius,"J. Volcanol. Geotherm. Res., 133: 13-22"
211020,Vesuvius,"Green J, Short N M",1971,Volcanic Landforms and Surface Features: a Photographic Atlas and Glossary,"New York: Springer-Verlag, 519 p"
211020,Vesuvius,"Gurioli L, Houghton B R, Cashman K V, Cioni R",2005,Complex changes in eruptive dynamics during the 79 AD eruption of Vesuvius,"Bull Volcanol, 67: 144-159"
211020,Vesuvius,"Gurioli L, Sulpizio R, Cioni R, Sbrana A, Santacroce R, Luperini W, Andronico D",2010,Pyroclastic flow hazard assessment at Somma-Vesuvius based on the geological record,"Bull Volcanol, 72: 1021-1038"
211020,Vesuvius,Imbo G,1965,Italy,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 18: 1-72"
211020,Vesuvius,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
211020,Vesuvius,"Lirer L, Munno R, Postiglione I, Vinci A, Vitelli L",1997,The A.D. 79 eruption as a future explosive scenario in the Vesuvian area: evaluation of associated risk,"Bull Volcanol, 59: 112-124"
211020,Vesuvius,"Lirer L, Petrosino P, Alberico I, Postiglione I",2001,Long-term volcanic hazard forecasts based on Somma-Vesuvio past eruptive activity,"Bull Volcanol, 63: 45-60"
211020,Vesuvius,"Marianelli P, Metrich N, Sbrana A",1999,Shallow and deep reservoirs involved in magma supply of the 1944 eruption of Vesuvius,"Bull Volcanol, 61: 48-63"
211020,Vesuvius,"Mastrolorenzo G, Petrone P, Pappalardo L, Sheridan M F",2006,The Avellino 3780-yr-B.P. catastrophe as a worst-case scenario for a future eruption at Vesuvius,"Proc Nat Acad Sci, 103: 4366-4370"
211020,Vesuvius,"Milia A, Mirabile L, Torrente M M, Dvorak J J",1998,Volcanism offshore of Vesuvius volcano in Naples Bay,"Bull Volcanol, 59: 404-413"
211020,Vesuvius,Peccerillo A,2005,Plio-Quaternary Volcanism in Italy,"Berlin: Springer, 365 p"
211020,Vesuvius,"Perrotta A, Scarpati C, Luongo G, Aoyagi M",2006,Burial of Emperor Augustus' villa at Somma Vesuviana (Italy) by post-79 AD Vesuvius eruptions and reworked (lahars and stream flow) deposits,"J. Volcanol. Geotherm. Res., 158: 445-466"
211020,Vesuvius,"Principe C, Marini L",2008,Evolution of the Vesuvius magmatic-hydrothermal system before the 16 December 1631 eruption,"J. Volcanol. Geotherm. Res., 171: 311-306"
211020,Vesuvius,"Principe C, Tanguy J-C, Arrighi S, Paiotti A, Le Goff M, Zoppi U",2004,Chronology of Vesuvius' activity from A.D. 79 to 1631 based on archaeomagnetism of lavas and historical sources,"Bull Volcanol, 66: 703-724"
211020,Vesuvius,"Rolandi G, Munno R, Postiglione I",2004,The A.D. 472 eruption of the Somma volcano,"J. Volcanol. Geotherm. Res., 129: 291-319"
211020,Vesuvius,"Rolandi G, Paone A, De Lascio M, Stefani G",2008,The 79 AD eruption of Somma: the relationship between the date of the eruption and the southeast tephra dispersion,"J. Volcanol. Geotherm. Res., 169: 87-98"
211020,Vesuvius,"Rolandi G, Petrosino P, McGeehin J",1998,The interplinian activity at Somma-Vesuvius in the last 3500 years,"J. Volcanol. Geotherm. Res., 82: 19-52"
211020,Vesuvius,"Rosi M, Santacroce R, Sbrana A",1987,Geological Map of Somma-Vesuvius Volcanic Complex,"CNR Progetto Finalizzato Geodinamica, Rome"
211020,Vesuvius,"Rosi M, Santacroce R, Sheridan M",1981,Volcanic hazards of Vesuvius (Italy),"Bull BRGM, 4: 169-179"
211020,Vesuvius,"Sandri L, Guidoboni E, Marzocchi W, Selva J",2009,"Bayesian event tree for eruption forecasting (BET_EF) at Vesuvius, Italy: a retrospective forward application to the 1631 eruption","Bull Volcanol, 71: 729-745"
